X,Y,#
3656,2740,133
x,y
[3247 2734]
[3246 2735]
[3245 2735]
[3244 2736]
[3244 2739]
[3256 2739]
[3255 2738]
[3255 2737]
[3253 2735]
[3252 2735]
[3251 2734]
[1013 1754]
[1016 1754]
[1019 1751]
[1020 1751]
[1022 1749]
[1023 1749]
[1025 1747]
[1025 1746]
[1026 1745]
[1026 1738]
[1025 1737]
[1024 1737]
[1022 1735]
[1022 1734]
[1021 1733]
[1018 1733]
[1017 1732]
[1017 1731]
[ 815 1724]
[ 814 1725]
[ 814 1729]
[ 815 1730]
[ 816 1729]
[ 818 1729]
[ 818 1728]
[ 819 1727]
[ 819 1725]
[ 818 1724]
[ 766 1690]
[ 764 1692]
[ 762 1692]
[ 762 1694]
[ 761 1695]
[ 762 1696]
[ 762 1699]
[ 764 1699]
[ 765 1700]
[ 769 1700]
[ 772 1697]
[ 772 1694]
[ 769 1691]
[ 769 1690]
[ 872 1676]
[ 872 1678]
[ 871 1679]
[ 872 1680]
[ 872 1681]
[ 879 1681]
[ 880 1682]
[ 880 1681]
[ 879 1680]
[ 878 1680]
[ 877 1679]
[ 877 1678]
[ 876 1678]
[ 874 1676]
[1152 1641]
[1150 1643]
[1150 1646]
[1151 1647]
[1152 1646]
[1153 1647]
[1155 1647]
[1155 1642]
[1153 1642]
[ 798 1634]
[ 797 1635]
[ 796 1635]
[ 795 1636]
[ 793 1636]
[ 792 1637]
[ 791 1637]
[ 790 1638]
[ 789 1638]
[ 786 1641]
[ 784 1641]
[ 783 1642]
[ 783 1646]
[ 784 1647]
[ 784 1649]
[ 786 1651]
[ 787 1651]
[ 789 1653]
[ 791 1653]
[ 792 1654]
[ 793 1654]
[ 794 1655]
[ 797 1655]
[ 798 1656]
[ 805 1656]
[ 806 1655]
[ 807 1655]
[ 808 1654]
[ 809 1654]
[ 810 1653]
[ 810 1651]
[ 811 1650]
[ 811 1646]
[ 810 1645]
[ 810 1642]
[ 807 1639]
[ 807 1638]
[ 806 1639]
[ 805 1638]
[ 804 1638]
[ 801 1635]
[ 800 1635]
[ 799 1634]
[ 356 1630]
[ 356 1631]
[ 354 1633]
[ 351 1633]
[ 350 1634]
[ 350 1635]
[ 349 1636]
[ 349 1637]
[ 348 1638]
[ 348 1641]
[ 350 1643]
[ 350 1644]
[ 352 1644]
[ 353 1645]
[ 355 1645]
[ 356 1644]
[ 359 1644]
[ 360 1645]
[ 361 1644]
[ 361 1643]
[ 363 1641]
[ 363 1640]
[ 364 1639]
[ 363 1638]
[ 363 1637]
[ 362 1636]
[ 362 1634]
[ 361 1634]
[ 359 1632]
[ 358 1632]
[ 735 1617]
[ 734 1618]
[ 731 1618]
[ 731 1622]
[ 736 1622]
[ 737 1621]
[ 737 1619]
[1303 1571]
[1303 1572]
[1302 1573]
[1302 1577]
[1304 1579]
[1309 1579]
[1309 1578]
[1310 1577]
[1310 1574]
[1308 1572]
[1307 1572]
[1306 1571]
[1175 1565]
[1174 1566]
[1173 1566]
[1171 1568]
[1171 1570]
[1170 1571]
[1170 1573]
[1171 1574]
[1171 1575]
[1172 1575]
[1173 1576]
[1176 1576]
[1177 1575]
[1178 1575]
[1179 1574]
[1179 1568]
[1177 1566]
[1176 1566]
[ 834 1526]
[ 834 1527]
[ 833 1528]
[ 833 1529]
[ 832 1530]
[ 832 1532]
[ 834 1534]
[ 835 1534]
[ 838 1537]
[ 839 1536]
[ 843 1536]
[ 843 1535]
[ 844 1534]
[ 844 1530]
[ 843 1529]
[ 843 1528]
[ 842 1528]
[ 841 1527]
[ 841 1526]
[2218 1494]
[2217 1495]
[2217 1496]
[2216 1497]
[2216 1499]
[2218 1501]
[2220 1501]
[2222 1499]
[2222 1496]
[2221 1495]
[2220 1495]
[2219 1494]
[1969 1482]
[1966 1485]
[1966 1486]
[1967 1487]
[1967 1488]
[1968 1489]
[1969 1488]
[1970 1488]
[1971 1487]
[1971 1483]
[1970 1482]
[ 810 1466]
[ 810 1467]
[ 808 1469]
[ 807 1469]
[ 806 1470]
[ 806 1471]
[ 805 1472]
[ 805 1477]
[ 806 1478]
[ 806 1479]
[ 807 1480]
[ 807 1481]
[ 808 1482]
[ 808 1483]
[ 809 1483]
[ 811 1485]
[ 813 1485]
[ 814 1486]
[ 816 1486]
[ 817 1487]
[ 817 1488]
[ 816 1489]
[ 816 1491]
[ 817 1492]
[ 817 1494]
[ 818 1495]
[ 818 1496]
[ 819 1497]
[ 821 1497]
[ 822 1498]
[ 826 1498]
[ 827 1497]
[ 828 1497]
[ 830 1495]
[ 831 1495]
[ 831 1494]
[ 832 1493]
[ 832 1492]
[ 833 1491]
[ 833 1490]
[ 832 1489]
[ 832 1486]
[ 829 1483]
[ 829 1482]
[ 827 1482]
[ 826 1481]
[ 823 1481]
[ 821 1479]
[ 821 1477]
[ 820 1476]
[ 820 1474]
[ 819 1473]
[ 819 1472]
[ 818 1471]
[ 818 1470]
[ 815 1467]
[ 814 1467]
[ 813 1466]
[1186 1384]
[1184 1386]
[1182 1386]
[1181 1387]
[1180 1387]
[1179 1388]
[1179 1389]
[1178 1390]
[1178 1394]
[1179 1395]
[1179 1396]
[1181 1398]
[1184 1398]
[1185 1399]
[1197 1399]
[1198 1398]
