X,Y,#
4364,2127,BAD
4365,2127,BAD
4366,2127,BAD
4367,2127,BAD
4368,2127,BAD
4369,2127,BAD
4370,2127,BAD
4371,2127,BAD
4372,2127,BAD
4373,2127,BAD
4374,2127,BAD
4375,2127,BAD
4376,2127,BAD
4377,2127,BAD
4378,2127,BAD
4379,2127,BAD
4380,2127,BAD
4381,2127,BAD
4382,2127,BAD
4344,2128,BAD
4345,2128,BAD
4346,2128,BAD
4347,2128,BAD
4348,2128,BAD
4349,2128,BAD
4350,2128,BAD
4351,2128,BAD
4352,2128,BAD
4353,2128,BAD
4354,2128,BAD
4355,2128,BAD
4356,2128,BAD
4357,2128,BAD
4358,2128,BAD
4359,2128,BAD
4360,2128,BAD
4361,2128,BAD
4362,2128,BAD
4363,2128,BAD
4364,2128,BAD
4365,2128,BAD
4366,2128,BAD
4367,2128,BAD
4368,2128,BAD
4369,2128,BAD
4370,2128,BAD
4371,2128,BAD
4372,2128,BAD
4373,2128,BAD
4374,2128,BAD
4375,2128,BAD
4376,2128,BAD
4377,2128,BAD
4378,2128,BAD
4379,2128,BAD
4380,2128,BAD
4381,2128,BAD
4382,2128,BAD
4383,2128,BAD
4384,2128,BAD
4343,2129,BAD
4344,2129,BAD
4345,2129,BAD
4346,2129,BAD
4347,2129,BAD
4348,2129,BAD
4349,2129,BAD
4350,2129,BAD
4351,2129,BAD
4352,2129,BAD
4353,2129,BAD
4354,2129,BAD
4355,2129,BAD
4356,2129,BAD
4357,2129,BAD
4358,2129,BAD
4359,2129,BAD
4360,2129,BAD
