X,Y,#
3656,2740,37
x,y
[1365 2736]
[1364 2737]
[1362 2737]
[1361 2738]
[1361 2739]
[1374 2739]
[1374 2737]
[1373 2736]
[1370 2736]
[1369 2737]
[1368 2737]
[1367 2736]
[  83 1157]
[  83 1156]
[  82 1156]
[  81 1155]
[  81 1154]
[  80 1153]
[2127 1091]
[2123 1095]
[2122 1095]
[2123 1096]
[2123 1097]
[2124 1097]
[2125 1098]
[2125 1097]
[2127 1095]
[2128 1096]
[2130 1096]
[2129 1096]
[2127 1094]
[2127 1093]
[2128 1092]
[2129 1093]
[2131 1093]
[2131 1092]
[2130 1091]
[ 642 1002]
[ 641 1003]
[ 641 1004]
[ 639 1006]
[ 638 1005]
[ 639 1006]
[ 639 1007]
[ 638 1008]
[ 638 1009]
[ 639 1009]
[ 640 1010]
[ 640 1012]
[ 641 1013]
[ 644 1013]
[ 647 1010]
[ 649 1010]
[ 649 1006]
[ 648 1005]
[ 648 1004]
[ 647 1004]
[ 646 1003]
[ 643 1003]
[376 995]
[375 996]
[373 996]
[372 997]
[370 997]
[369 998]
[366 998]
[ 364 1000]
[ 365 1001]
[ 360 1006]
[ 361 1007]
[ 361 1008]
[ 360 1009]
[ 360 1012]
[ 359 1013]
[ 360 1014]
[ 360 1018]
[ 361 1019]
[ 361 1021]
[ 364 1024]
[ 364 1025]
[ 366 1027]
[ 367 1027]
[ 369 1029]
[ 371 1029]
[ 373 1031]
[ 374 1030]
[ 376 1030]
[ 377 1031]
[ 380 1031]
[ 381 1030]
[ 382 1031]
[ 384 1031]
[ 385 1030]
[ 386 1030]
[ 387 1029]
[ 391 1029]
[ 391 1028]
[ 393 1026]
[ 393 1025]
[ 394 1024]
[ 394 1023]
[ 395 1022]
[ 395 1018]
[ 396 1017]
[ 396 1012]
[ 394 1010]
[ 394 1007]
[ 393 1006]
[ 393 1004]
[ 391 1002]
[ 391 1001]
[ 390 1000]
[ 389 1000]
[387 998]
[382 998]
[381 997]
[380 997]
[379 996]
[378 996]
[377 995]
[2836  963]
[2836  964]
[2834  966]
[2836  968]
[2837  968]
[2839  970]
[2839  971]
[2838  972]
[2837  972]
[2838  972]
[2839  973]
[2839  975]
[2840  975]
[2841  976]
[2840  977]
[2839  977]
[2838  978]
[2838  979]
[2837  980]
[2837  981]
[2838  982]
[2838  985]
[2837  986]
[2837  987]
[2836  988]
[2835  988]
[2835  989]
[2836  989]
[2837  990]
[2837  991]
[2836  992]
[2835  992]
[2835  994]
[2834  995]
[2833  995]
[2832  996]
[2834  996]
[2835  997]
[2835  998]
[2834  999]
[2834 1000]
[2833 1001]
[2833 1005]
[2832 1006]
[2832 1007]
[2831 1008]
[2832 1009]
[2832 1010]
[2833 1011]
[2833 1015]
[2834 1016]
[2832 1018]
[2832 1020]
[2831 1021]
[2832 1022]
[2834 1022]
[2836 1024]
[2835 1025]
[2835 1026]
[2837 1026]
[2838 1027]
[2839 1027]
[2840 1028]
[2841 1028]
[2842 1029]
[2843 1028]
[2845 1028]
[2847 1026]
[2849 1026]
[2850 1025]
[2851 1025]
[2851 1024]
[2853 1022]
[2853 1016]
[2854 1015]
[2854 1014]
[2853 1013]
[2853 1009]
[2852 1008]
[2851 1008]
[2850 1007]
[2852 1005]
[2852 1003]
[2851 1002]
[2851 1001]
[2850 1000]
[2850  997]
[2849  996]
[2849  995]
[2848  994]
[2848  993]
[2849  992]
[2849  991]
[2848  990]
[2848  988]
[2847  987]
[2847  984]
[2848  983]
[2850  983]
[2851  982]
[2851  980]
[2849  978]
[2849  976]
[2850  975]
[2852  975]
[2853  974]
[2853  973]
[2852  972]
[2854  970]
[2855  970]
[2853  970]
[2851  968]
[2851  967]
[2848  964]
[2846  964]
[2845  965]
[2844  965]
[2843  964]
[2841  964]
[2840  963]
[2839  964]
[2838  963]
[2242  915]
[2241  916]
[2239  916]
[2238  917]
[2237  917]
[2236  916]
[2235  916]
[2232  919]
[2228  919]
[2227  920]
[2225  920]
[2224  921]
[2224  922]
[2223  923]
[2221  923]
[2218  926]
